ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
23517,2016,Quincy Acy,PF,25,SAC,59,0.629,0.318,1.8,0.7,2.5,119,214,0.556,100,165,0.606,0.6,50,68,0.735,27,103,307
23518,2016,Jordan Adams,SG,21,MEM,2,0.427,0.833,0,0,0,2,6,0.333,2,5,0.4,0.333,3,5,0.6,3,2,7
23519,2016,Steven Adams,C,22,OKC,80,0.621,0.46,4.2,2.3,6.5,261,426,0.613,261,426,0.613,0.613,114,196,0.582,62,223,636
23520,2016,Arron Afflalo,SG,30,NYK,71,0.531,0.164,1.8,0.9,2.7,354,799,0.443,263,561,0.469,0.5,110,131,0.84,144,142,909
23521,2016,Alexis Ajinca,C,27,NOP,59,0.514,0.197,0.2,0.9,1,150,315,0.476,150,314,0.478,0.476,52,62,0.839,31,134,352
23522,2016,Cole Aldrich,C,27,LAC,60,0.626,0.373,1.4,2,3.5,134,225,0.596,134,225,0.596,0.596,60,84,0.714,50,139,328
23523,2016,LaMarcus Aldridge,PF,30,SAS,74,0.565,0.289,5.6,4.5,10.1,536,1045,0.513,536,1029,0.521,0.513,259,302,0.858,110,151,1331
23524,2016,Cliff Alexander,PF,20,POR,8,0.5,0,0,0,0,5,10,0.5,5,10,0.5,0.5,0,0,,0,1,10
23525,2016,Lavoy Allen,PF,26,IND,79,0.532,0.197,1.6,2.1,3.7,191,370,0.516,191,370,0.516,0.516,46,73,0.63,76,147,428
23526,2016,Tony Allen,SG,34,MEM,64,0.505,0.294,0.5,1.9,2.4,215,469,0.458,200,427,0.468,0.474,90,138,0.652,70,175,535
23527,2016,Al-Farouq Aminu,SF,25,POR,82,0.533,0.217,1.7,2.3,4,299,719,0.416,173,370,0.468,0.503,115,156,0.737,138,171,839
23528,2016,Lou Amundson,PF,33,NYK,29,0.401,0.509,-0.3,0.2,-0.1,19,53,0.358,19,53,0.358,0.358,14,27,0.519,12,44,52
23529,2016,Chris Andersen,C,37,TOT,27,0.598,0.5,0.8,0.4,1.3,38,72,0.528,34,58,0.586,0.556,25,36,0.694,12,29,105
23530,2016,Chris Andersen,C,37,MIA,7,0.553,0.4,0.1,0.1,0.1,4,10,0.4,2,5,0.4,0.5,3,4,0.75,3,4,13
23531,2016,Chris Andersen,C,37,MEM,20,0.605,0.516,0.7,0.4,1.1,34,62,0.548,32,53,0.604,0.565,22,32,0.688,9,25,92
23532,2016,Alan Anderson,SG,33,WAS,13,0.495,0.254,0.2,0.2,0.3,21,59,0.356,9,22,0.409,0.458,11,15,0.733,14,25,65
23533,2016,James Anderson,SG,26,SAC,51,0.469,0.163,-0.6,0.4,-0.3,67,178,0.376,44,92,0.478,0.441,22,29,0.759,41,54,179
23534,2016,Justin Anderson,SF,22,DAL,55,0.522,0.314,0.3,0.8,1.1,71,175,0.406,49,92,0.533,0.469,44,55,0.8,29,45,208
23535,2016,Kyle Anderson,SF,22,SAS,78,0.528,0.281,0.7,2.8,3.5,138,295,0.468,126,258,0.488,0.488,62,83,0.747,123,97,350
23536,2016,Ryan Anderson,PF,27,NOP,66,0.546,0.245,3.1,0.8,3.9,397,929,0.427,266,571,0.466,0.498,199,228,0.873,73,109,1124
23537,2016,Giannis Antetokounmpo,PG,21,MIL,80,0.566,0.404,4.2,2.9,7.1,513,1013,0.506,485,904,0.537,0.52,296,409,0.724,345,258,1350
23538,2016,Thanasis Antetokounmpo,SF,23,NYK,2,0.75,0,0,0,0,3,4,0.75,3,3,1,0.75,0,0,,0,2,6
23539,2016,Carmelo Anthony,SF,31,NYK,72,0.53,0.308,3.9,2.5,6.4,567,1307,0.434,462,997,0.463,0.474,334,403,0.829,299,180,1573
23540,2016,Joel Anthony,C,33,DET,19,0.666,0.8,0.2,0.2,0.4,6,10,0.6,6,10,0.6,0.6,6,8,0.75,1,15,18
23541,2016,Keith Appling,PG,23,ORL,5,0.338,0.25,-0.1,0,-0.1,2,8,0.25,2,5,0.4,0.25,2,2,1,1,5,6
23542,2016,Trevor Ariza,SF,30,HOU,81,0.551,0.187,3.1,2.3,5.4,357,859,0.416,172,360,0.478,0.523,126,161,0.783,188,177,1025
23543,2016,Darrell Arthur,PF,27,DEN,70,0.514,0.108,1,1.3,2.3,221,489,0.452,176,372,0.473,0.498,40,53,0.755,96,185,527
23544,2016,Omer Asik,C,29,NOP,68,0.551,0.574,0.7,1,1.7,104,195,0.533,104,195,0.533,0.533,61,112,0.545,26,124,269
23545,2016,D.J. Augustin,PG,28,TOT,62,0.575,0.366,2,0.6,2.6,148,350,0.423,80,182,0.44,0.52,103,128,0.805,198,85,467
23546,2016,D.J. Augustin,PG,28,OKC,34,0.522,0.281,0.4,0.3,0.7,46,121,0.38,22,60,0.367,0.479,26,34,0.765,66,41,142
23547,2016,D.J. Augustin,PG,28,DEN,28,0.601,0.41,1.6,0.3,1.9,102,229,0.445,58,122,0.475,0.541,77,94,0.819,132,44,325
23548,2016,Jeff Ayres,C,28,LAC,17,0.585,0.261,0.1,0.1,0.2,12,23,0.522,12,22,0.545,0.522,6,6,1,5,18,30
23549,2016,Luke Babbitt,SF,26,NOP,47,0.526,0.173,0.8,0.3,1.1,122,289,0.422,78,180,0.433,0.498,39,50,0.78,53,90,327
23550,2016,Cameron Bairstow,C,25,CHI,18,0.391,0.2,-0.1,0.1,0,13,40,0.325,12,35,0.343,0.338,7,8,0.875,6,19,34
23551,2016,Leandro Barbosa,SG,33,GSW,68,0.545,0.168,0.9,1.2,2.1,171,370,0.462,132,260,0.508,0.515,52,62,0.839,82,107,433
23552,2016,J.J. Barea,PG,31,DAL,74,0.536,0.135,2.1,0.7,2.8,317,711,0.446,217,451,0.481,0.516,74,96,0.771,302,110,808
23553,2016,Andrea Bargnani,C,30,BRK,46,0.5,0.204,0.1,0,0.2,127,279,0.455,124,263,0.471,0.461,47,57,0.825,18,61,304
23554,2016,Harrison Barnes,SF,23,GSW,66,0.559,0.212,3.1,1.9,4.9,295,633,0.466,213,419,0.508,0.531,102,134,0.761,117,136,774
23555,2016,Matt Barnes,SF,35,MEM,76,0.503,0.199,0.4,2.2,2.6,264,693,0.381,145,323,0.449,0.467,111,138,0.804,163,234,758
23556,2016,Will Barton,SG,25,DEN,82,0.535,0.273,2.4,1.9,4.3,425,983,0.432,313,658,0.476,0.489,216,268,0.806,203,147,1178
23557,2016,Brandon Bass,PF,30,LAL,66,0.619,0.467,3.4,0.7,4.1,174,317,0.549,174,315,0.552,0.549,125,148,0.845,74,125,473
23558,2016,Nicolas Batum,SF,27,CHO,70,0.546,0.22,2,2.9,5,372,873,0.426,233,474,0.492,0.506,163,192,0.849,403,114,1046
23559,2016,Jerryd Bayless,SG,27,MIL,52,0.568,0.206,1.8,0.6,2.4,185,437,0.423,84,206,0.408,0.539,70,90,0.778,163,111,541
23560,2016,Aron Baynes,C,29,DET,81,0.563,0.43,2.4,1.7,4.1,194,384,0.505,194,382,0.508,0.505,126,165,0.764,51,151,514
23561,2016,Kent Bazemore,SF,26,ATL,75,0.551,0.208,0.3,3.8,4.1,320,725,0.441,211,420,0.502,0.517,123,151,0.815,171,176,872
23562,2016,Bradley Beal,SG,22,WAS,55,0.547,0.22,1.4,1.3,2.7,359,799,0.449,254,528,0.481,0.515,135,176,0.767,162,117,958
23563,2016,Michael Beasley,PF,27,HOU,20,0.563,0.239,0.6,0.3,1,107,205,0.522,104,196,0.531,0.529,38,49,0.776,16,39,255
23564,2016,Marco Belinelli,SG,29,SAC,68,0.5,0.217,0.2,0.3,0.5,245,635,0.386,154,338,0.456,0.457,115,138,0.833,127,91,696
23565,2016,Anthony Bennett,PF,22,TOR,19,0.446,0.37,0,0.1,0.1,8,27,0.296,5,13,0.385,0.352,9,10,0.9,0,8,28
23566,2016,Patrick Beverley,PG,27,HOU,71,0.553,0.148,3.1,1.3,4.4,258,594,0.434,134,284,0.472,0.539,60,88,0.682,239,234,700
23567,2016,Bismack Biyombo,C,23,TOR,82,0.586,0.785,2.8,3.1,5.9,156,288,0.542,156,287,0.544,0.542,142,226,0.628,29,225,454
23568,2016,Nemanja Bjelica,PF,27,MIN,60,0.594,0.234,1.4,0.6,1.9,110,235,0.468,62,110,0.564,0.57,40,55,0.727,83,154,308
23569,2016,Tarik Black,C,24,LAL,39,0.537,0.433,0.3,0.4,0.7,57,104,0.548,57,104,0.548,0.548,19,45,0.422,16,78,133
23570,2016,DeJuan Blair,C,26,WAS,29,0.414,0.191,-0.3,0.3,-0.1,28,68,0.412,28,67,0.418,0.412,5,13,0.385,11,53,61
23571,2016,Steve Blake,PG,35,DET,58,0.51,0.083,0.3,0.8,1.1,93,240,0.388,41,89,0.461,0.496,16,20,0.8,200,70,254
23572,2016,Eric Bledsoe,PG,26,PHO,31,0.557,0.35,1.6,1,2.5,223,492,0.453,175,363,0.482,0.502,138,172,0.802,190,75,632
23573,2016,Bojan Bogdanovic,SF,26,BRK,79,0.55,0.176,0.9,0,0.9,324,749,0.433,195,411,0.474,0.519,110,132,0.833,99,119,887
23574,2016,Andrew Bogut,C,31,GSW,70,0.623,0.179,2.6,2.9,5.4,175,279,0.627,174,278,0.626,0.629,24,50,0.48,162,221,375
23575,2016,Matt Bonner,C,35,SAS,30,0.647,0.07,0.4,0.3,0.8,29,57,0.509,14,23,0.609,0.64,3,4,0.75,9,16,76
23576,2016,Devin Booker,SG,19,PHO,76,0.535,0.295,1.2,0.7,1.9,367,867,0.423,268,578,0.464,0.48,215,256,0.84,200,225,1048
23577,2016,Trevor Booker,PF,28,UTA,79,0.533,0.273,1.8,2.6,4.3,190,388,0.49,178,347,0.513,0.505,71,106,0.67,84,169,463
23578,2016,Chris Bosh,PF,31,MIA,53,0.571,0.349,4.1,2.3,6.4,358,767,0.467,277,545,0.508,0.52,213,268,0.795,128,101,1010
23579,2016,Avery Bradley,SG,25,BOS,76,0.538,0.121,2,2.8,4.8,456,1019,0.447,309,612,0.505,0.52,96,123,0.78,158,164,1155
23580,2016,Elton Brand,C,36,PHI,17,0.461,0.125,-0.1,0.3,0.2,31,72,0.431,31,71,0.437,0.431,8,9,0.889,18,32,70
23581,2016,Corey Brewer,SF,29,HOU,82,0.481,0.254,0.1,1.2,1.2,212,552,0.384,151,328,0.46,0.439,105,140,0.75,109,168,590
23582,2016,Aaron Brooks,PG,31,CHI,69,0.494,0.136,0.2,0.7,0.9,188,469,0.401,122,284,0.43,0.471,49,64,0.766,180,132,491
23583,2016,Anthony Brown,SF,23,LAL,29,0.427,0.159,-0.4,0.1,-0.3,39,126,0.31,19,56,0.339,0.389,17,20,0.85,19,34,115
23584,2016,Lorenzo Brown,PG,25,PHO,8,0.374,0.16,-0.3,0.1,-0.2,8,25,0.32,7,17,0.412,0.34,3,4,0.75,11,4,20
23585,2016,Markel Brown,SG,24,BRK,62,0.5,0.292,0.2,0.4,0.6,127,322,0.394,89,201,0.443,0.453,71,94,0.755,91,94,363
23586,2016,Kobe Bryant,SF,37,LAL,66,0.469,0.252,-0.9,0.5,-0.4,398,1113,0.358,265,646,0.41,0.417,232,281,0.826,184,115,1161
23587,2016,Chase Budinger,SF,27,TOT,66,0.514,0.234,0.4,1,1.4,104,239,0.435,80,153,0.523,0.485,39,56,0.696,64,62,271
23588,2016,Chase Budinger,SF,27,IND,49,0.502,0.247,0.3,1,1.3,81,194,0.418,61,125,0.488,0.469,34,48,0.708,49,46,216
23589,2016,Chase Budinger,SF,27,PHO,17,0.567,0.178,0.1,0,0.1,23,45,0.511,19,28,0.679,0.556,5,8,0.625,15,16,55
23590,2016,Reggie Bullock,SF,24,DET,37,0.583,0.153,0.8,0.4,1.2,43,98,0.439,21,45,0.467,0.551,14,15,0.933,27,29,122
23591,2016,Trey Burke,PG,23,UTA,64,0.507,0.129,0.9,1.2,2.1,262,634,0.413,174,378,0.46,0.483,67,82,0.817,148,86,679
23592,2016,Alec Burks,SG,24,UTA,31,0.52,0.422,0.7,0.8,1.5,137,334,0.41,105,255,0.412,0.458,106,141,0.752,63,71,412
23593,2016,Caron Butler,SF,35,SAC,17,0.49,0.203,0.1,0.1,0.3,25,59,0.424,22,41,0.537,0.449,10,12,0.833,10,19,63
23594,2016,Jimmy Butler,SG,26,CHI,67,0.562,0.459,6.5,2.7,9.1,470,1035,0.454,406,830,0.489,0.485,395,475,0.832,321,124,1399
23595,2016,Rasual Butler,SF,36,SAS,46,0.558,0.154,0.4,0.9,1.3,49,104,0.471,34,55,0.618,0.543,11,16,0.688,24,11,124
23596,2016,Bruno Caboclo,SF,20,TOR,6,0.125,0,-0.3,0,-0.3,1,12,0.083,0,5,0,0.125,0,0,,1,2,3
23597,2016,Jose Calderon,PG,34,NYK,72,0.571,0.105,2.7,1.4,4,209,455,0.459,125,252,0.496,0.552,42,48,0.875,298,135,544
23598,2016,Kentavious Caldwell-Pope,SG,22,DET,76,0.521,0.238,2.6,2.7,5.3,403,960,0.42,289,591,0.489,0.479,185,228,0.811,138,167,1105
23599,2016,Isaiah Canaan,SG,24,PHI,77,0.528,0.249,0.9,0.5,1.4,260,722,0.36,84,237,0.354,0.482,150,180,0.833,137,133,846
23600,2016,Clint Capela,C,21,HOU,77,0.553,0.531,2.4,2,4.4,231,397,0.582,231,396,0.583,0.582,80,211,0.379,47,190,542
23601,2016,DeMarre Carroll,SF,29,TOR,26,0.49,0.185,0.2,1,1.2,105,270,0.389,59,152,0.388,0.474,30,50,0.6,27,63,286
23602,2016,Vince Carter,SG,39,MEM,60,0.52,0.245,1,0.8,1.8,133,343,0.388,74,174,0.425,0.474,70,84,0.833,56,101,395
23603,2016,Michael Carter-Williams,PG,24,MIL,54,0.497,0.292,-0.4,1.6,1.2,251,555,0.452,236,500,0.472,0.466,106,162,0.654,281,162,623
23604,2016,Omri Casspi,SF,27,SAC,69,0.587,0.256,2.1,1.5,3.6,299,622,0.481,187,348,0.537,0.571,103,159,0.648,95,154,813
23605,2016,Willie Cauley-Stein,C,22,SAC,66,0.588,0.369,2.4,1.4,3.8,191,339,0.563,191,337,0.567,0.563,81,125,0.648,37,146,463
23606,2016,Mario Chalmers,PG,29,TOT,61,0.561,0.59,2.3,1.5,3.8,182,444,0.41,136,295,0.461,0.462,218,262,0.832,230,181,628
23607,2016,Mario Chalmers,PG,29,MIA,6,0.437,0.406,-0.1,0.2,0.1,10,32,0.313,9,21,0.429,0.328,12,13,0.923,19,16,33
23608,2016,Mario Chalmers,PG,29,MEM,55,0.57,0.604,2.4,1.3,3.7,172,412,0.417,127,274,0.464,0.472,206,249,0.827,211,165,595
23609,2016,Tyson Chandler,C,33,PHO,66,0.606,0.545,2.1,1.6,3.8,183,314,0.583,183,313,0.585,0.583,106,171,0.62,64,145,472
23610,2016,Rakeem Christmas,PF,24,IND,1,1,0,0,0,0,2,2,1,2,2,1,1,0,0,,0,1,4
23611,2016,Ian Clark,SG,24,GSW,66,0.544,0.168,0.3,0.6,0.9,89,202,0.441,59,118,0.5,0.515,28,34,0.824,64,58,236
23612,2016,Coty Clarke,SF,23,BOS,3,0.75,0,0,0,0,2,4,0.5,0,2,0,0.75,0,0,,0,0,6
23613,2016,Jordan Clarkson,SG,23,LAL,79,0.516,0.186,1.7,0.4,2.1,475,1098,0.433,364,778,0.468,0.483,164,204,0.804,192,168,1225
23614,2016,Norris Cole,PG,27,NOP,45,0.465,0.134,-0.6,0.5,-0.1,196,484,0.405,163,382,0.427,0.439,52,65,0.8,167,102,477
23615,2016,Darren Collison,PG,28,SAC,74,0.591,0.291,4.5,0.7,5.2,377,776,0.486,290,559,0.519,0.542,194,226,0.858,318,142,1035
23616,2016,Nick Collison,PF,35,OKC,59,0.498,0.303,0.1,0.7,0.8,50,109,0.459,50,107,0.467,0.459,23,33,0.697,52,107,123
23617,2016,Mike Conley,PG,28,MEM,56,0.538,0.329,4.2,1.1,5.3,294,696,0.422,216,481,0.449,0.478,191,229,0.834,342,100,857
23618,2016,Pat Connaughton,SG,23,POR,34,0.352,0.102,-0.3,0.1,-0.2,13,49,0.265,8,28,0.286,0.316,5,5,1,10,6,36
23619,2016,Chris Copeland,PF,31,MIL,24,0.462,0.137,-0.1,0,-0.1,17,51,0.333,7,15,0.467,0.431,6,7,0.857,11,17,50
23620,2016,Bryce Cotton,PG,23,TOT,8,0.4,0,-0.2,0,-0.1,4,10,0.4,4,7,0.571,0.4,0,0,,3,2,8
23621,2016,Bryce Cotton,PG,23,PHO,3,0.25,0,-0.2,0,-0.2,2,8,0.25,2,5,0.4,0.25,0,0,,3,2,4
23622,2016,Bryce Cotton,PG,23,MEM,5,1,0,0,0,0,2,2,1,2,2,1,1,0,0,,0,0,4
23623,2016,DeMarcus Cousins,C,25,SAC,65,0.538,0.498,2.4,3.3,5.7,601,1332,0.451,531,1122,0.473,0.477,476,663,0.718,214,236,1748
23624,2016,Robert Covington,SF,25,PHI,67,0.543,0.249,-0.1,2.1,2,274,712,0.385,104,230,0.452,0.504,140,177,0.791,97,232,858
23625,2016,Allen Crabbe,SG,23,POR,81,0.572,0.167,3.1,1.2,4.3,311,678,0.459,199,393,0.506,0.541,98,113,0.867,99,192,832
23626,2016,Jamal Crawford,SG,35,LAC,79,0.529,0.289,1.8,1.5,3.3,379,939,0.404,262,595,0.44,0.466,245,271,0.904,183,122,1120
23627,2016,Jae Crowder,SF,25,BOS,73,0.565,0.294,3.8,3.5,7.3,360,813,0.443,238,450,0.529,0.518,196,239,0.82,135,198,1038
23628,2016,Dante Cunningham,SF,28,NOP,80,0.54,0.199,1.5,0.7,2.1,186,412,0.451,131,238,0.55,0.518,57,82,0.695,77,173,484
23629,2016,Jared Cunningham,SG,24,TOT,44,0.464,0.524,-0.3,0.4,0.1,36,105,0.343,24,66,0.364,0.4,36,55,0.655,20,41,120
23630,2016,Jared Cunningham,SG,24,CLE,40,0.464,0.527,-0.2,0.4,0.1,32,91,0.352,22,59,0.373,0.407,30,48,0.625,19,37,104
23631,2016,Jared Cunningham,SG,24,MIL,4,0.468,0.5,-0.1,0,0,4,14,0.286,2,7,0.286,0.357,6,7,0.857,1,4,16
23632,2016,Seth Curry,PG,25,SAC,44,0.603,0.241,1.2,0.2,1.4,102,224,0.455,52,113,0.46,0.567,45,54,0.833,67,41,299
23633,2016,Stephen Curry,PG,27,GSW,79,0.669,0.25,13.8,4.1,17.9,805,1598,0.504,403,712,0.566,0.63,363,400,0.908,527,161,2375
23634,2016,Troy Daniels,SG,24,CHO,43,0.634,0.048,0.6,0.4,1.1,89,187,0.476,30,65,0.462,0.634,5,9,0.556,21,40,242
23635,2016,Anthony Davis,C,22,NOP,61,0.559,0.379,4.4,2.8,7.2,560,1136,0.493,525,1028,0.511,0.508,326,430,0.758,116,148,1481
23636,2016,Ed Davis,PF,26,POR,81,0.616,0.605,4.4,2.3,6.7,206,337,0.611,206,337,0.611,0.611,114,204,0.559,88,202,526
23637,2016,Branden Dawson,PF,22,LAC,6,0.46,0.2,0,0,0,2,5,0.4,2,5,0.4,0.4,1,1,1,0,2,5
23638,2016,Dewayne Dedmon,C,26,ORL,58,0.606,0.429,1.2,1.1,2.4,99,177,0.559,99,177,0.559,0.559,57,76,0.75,13,109,255
23639,2016,Bryce Dejean-Jones,SG,23,NOP,14,0.505,0.304,0,0.2,0.2,28,69,0.406,16,37,0.432,0.493,11,21,0.524,15,17,79
23640,2016,Sam Dekker,SF,21,HOU,3,,,0,0,0,0,0,,0,0,,,0,0,,0,0,0
23641,2016,Matthew Dellavedova,PG,25,CLE,76,0.527,0.129,2.2,1.6,3.8,207,511,0.405,109,272,0.401,0.501,57,66,0.864,337,178,569
23642,2016,Luol Deng,PF,30,MIA,74,0.549,0.258,3.5,2.8,6.4,339,745,0.455,251,489,0.513,0.514,145,192,0.755,140,122,911
23643,2016,DeMar DeRozan,SG,26,TOR,78,0.55,0.474,7.5,2.4,9.9,614,1377,0.446,567,1238,0.458,0.463,555,653,0.85,315,167,1830
23644,2016,Boris Diaw,PF,33,SAS,76,0.582,0.198,1.6,2.2,3.8,202,383,0.527,177,314,0.564,0.56,56,76,0.737,176,102,485
23645,2016,Gorgui Dieng,C,26,MIN,82,0.601,0.428,3.4,2.5,5.9,308,579,0.532,302,559,0.54,0.537,205,248,0.827,143,219,827
23646,2016,Spencer Dinwiddie,PG,22,DET,12,0.423,0.611,0,0.1,0.1,19,54,0.352,18,44,0.409,0.361,19,33,0.576,22,20,58
23647,2016,Toney Douglas,PG,29,NOP,61,0.543,0.222,1.6,0.9,2.5,183,445,0.411,102,242,0.421,0.502,84,99,0.848,157,131,531
23648,2016,Goran Dragic,PG,29,MIA,72,0.537,0.189,2.4,2.3,4.7,417,875,0.477,353,670,0.527,0.513,120,165,0.727,419,188,1018
23649,2016,Andre Drummond,C,22,DET,81,0.499,0.553,2,5.5,7.4,552,1060,0.521,550,1054,0.522,0.522,208,586,0.355,67,245,1314
23650,2016,Jared Dudley,PF,30,WAS,81,0.602,0.201,2.6,2,4.6,233,487,0.478,133,249,0.534,0.581,72,98,0.735,170,190,638
23651,2016,Duje Dukan,SF,24,SAC,1,0.3,0,0,0,0,2,10,0.2,0,5,0,0.3,0,0,,1,2,6
23652,2016,Tim Duncan,C,39,SAS,61,0.523,0.297,1.6,3.6,5.2,215,441,0.488,215,439,0.49,0.488,92,131,0.702,163,125,522
23653,2016,Mike Dunleavy,SF,35,CHI,31,0.543,0.197,0.4,0.5,0.9,77,188,0.41,38,89,0.427,0.513,29,37,0.784,39,66,222
23654,2016,Kevin Durant,SF,27,OKC,72,0.634,0.361,11,3.5,14.5,698,1381,0.505,512,900,0.569,0.573,447,498,0.898,361,137,2029
23655,2016,Cleanthony Early,SF,24,NYK,17,0.371,0.1,-0.3,0.1,-0.2,12,40,0.3,8,25,0.32,0.35,3,4,0.75,6,16,31
23656,2016,Jarell Eddie,SF,24,WAS,26,0.46,0.123,0,0.1,0.1,20,65,0.308,5,18,0.278,0.423,8,8,1,5,5,63
23657,2016,Wayne Ellington,SG,28,BRK,76,0.498,0.112,0.5,0.3,0.8,218,561,0.389,122,293,0.416,0.474,54,63,0.857,83,82,586
23658,2016,Monta Ellis,SG,30,IND,81,0.504,0.202,0.4,3.9,4.3,436,1021,0.427,349,739,0.472,0.47,162,206,0.786,383,174,1121
23659,2016,James Ennis,SF,25,TOT,22,0.621,0.301,0.7,0.2,0.9,54,113,0.478,28,55,0.509,0.593,25,34,0.735,21,28,159
23660,2016,James Ennis,SF,25,MIA,3,,,0,0,0,0,0,,0,0,,,0,0,,1,1,0
23661,2016,James Ennis,SF,25,MEM,10,0.46,0.769,0,0.1,0.1,4,13,0.308,2,5,0.4,0.385,6,10,0.6,2,1,16
23662,2016,James Ennis,SF,25,NOP,9,0.647,0.24,0.7,0.1,0.8,50,100,0.5,26,50,0.52,0.62,19,24,0.792,18,26,143
23663,2016,Tyler Ennis,PG,21,MIL,46,0.51,0.182,0.1,0.3,0.4,84,187,0.449,71,148,0.48,0.484,25,34,0.735,95,64,206
23664,2016,Jeremy Evans,SF,28,DAL,30,0.62,0.438,0.3,0.3,0.6,26,48,0.542,22,32,0.688,0.583,15,21,0.714,2,19,71
23665,2016,Tyreke Evans,SG,26,NOP,25,0.534,0.296,0.8,0.6,1.4,136,314,0.433,103,229,0.45,0.486,74,93,0.796,164,66,379
23666,2016,Festus Ezeli,C,26,GSW,46,0.559,0.579,1.4,1.3,2.7,125,228,0.548,125,228,0.548,0.548,70,132,0.53,32,94,320
23667,2016,Kenneth Faried,PF,26,DEN,67,0.577,0.355,4,1.5,5.5,349,626,0.558,348,624,0.558,0.558,136,222,0.613,79,169,835
23668,2016,Jordan Farmar,PG,29,MEM,12,0.527,0.1,0.2,0.2,0.4,42,100,0.42,26,55,0.473,0.5,10,10,1,37,22,110
23669,2016,Derrick Favors,PF,24,UTA,62,0.551,0.313,3.8,3.4,7.1,418,811,0.515,418,807,0.518,0.515,180,254,0.709,94,150,1016
23670,2016,Cristiano Felicio,C,23,CHI,31,0.601,0.486,0.7,0.4,1.2,40,72,0.556,40,68,0.588,0.556,25,35,0.714,26,31,105
23671,2016,Raymond Felton,PG,31,DAL,80,0.502,0.258,1,1.7,2.7,277,682,0.406,217,469,0.463,0.45,149,176,0.847,284,141,763
23672,2016,Evan Fournier,SF,23,ORL,79,0.587,0.256,4,1.7,5.7,429,929,0.462,273,539,0.506,0.546,199,238,0.836,213,214,1213
23673,2016,Randy Foye,SG,32,TOT,81,0.461,0.154,-0.4,0.9,0.4,169,482,0.351,94,232,0.405,0.428,61,74,0.824,161,131,474
23674,2016,Randy Foye,SG,32,DEN,54,0.457,0.141,-0.5,0.4,0,117,333,0.351,67,164,0.409,0.426,39,47,0.83,112,83,323
23675,2016,Randy Foye,SG,32,OKC,27,0.469,0.181,0,0.4,0.4,52,149,0.349,27,68,0.397,0.433,22,27,0.815,49,48,151
23676,2016,Tim Frazier,PG,25,TOT,51,0.499,0.323,0.4,0.5,1,96,229,0.419,80,181,0.442,0.454,53,74,0.716,162,73,261
23677,2016,Tim Frazier,PG,25,POR,35,0.383,0.25,-0.5,0.2,-0.3,20,60,0.333,17,43,0.395,0.358,8,15,0.533,42,31,51
23678,2016,Tim Frazier,PG,25,NOP,16,0.539,0.349,0.9,0.3,1.2,76,169,0.45,63,138,0.457,0.488,45,59,0.763,120,42,210
23679,2016,Jimmer Fredette,SG,26,TOT,6,0.625,1,0,0,0,2,5,0.4,1,3,0.333,0.5,4,5,0.8,1,2,9
23680,2016,Jimmer Fredette,SG,26,NOP,4,0.25,0,-0.1,0,-0.1,1,4,0.25,1,3,0.333,0.25,0,0,,1,1,2
23681,2016,Jimmer Fredette,SG,26,NYK,2,1.094,5,0.1,0,0.1,1,1,1,0,0,,1.5,4,5,0.8,0,1,7
23682,2016,Channing Frye,PF-C,32,TOT,70,0.586,0.101,1.6,1.3,3,152,347,0.438,61,112,0.545,0.569,30,35,0.857,71,127,425
23683,2016,Channing Frye,PF,32,ORL,44,0.586,0.113,0.8,0.8,1.5,81,186,0.435,33,65,0.508,0.565,19,21,0.905,45,71,229
23684,2016,Channing Frye,C,32,CLE,26,0.586,0.087,0.9,0.6,1.5,71,161,0.441,28,47,0.596,0.575,11,14,0.786,26,56,196
23685,2016,Danilo Gallinari,SF,27,DEN,53,0.582,0.617,5.4,0.9,6.3,287,700,0.41,200,461,0.434,0.472,375,432,0.868,135,87,1036
23686,2016,Langston Galloway,PG,24,NYK,82,0.49,0.194,1.4,1.8,3.3,231,588,0.393,154,364,0.423,0.458,86,114,0.754,207,177,625
23687,2016,Kevin Garnett,PF,39,MIN,38,0.491,0.183,0.4,0.7,1.1,54,115,0.47,54,114,0.474,0.47,14,21,0.667,62,70,122
23688,2016,Marc Gasol,C,31,MEM,52,0.528,0.347,1.8,1.9,3.7,328,707,0.464,326,704,0.463,0.465,203,245,0.829,196,141,861
23689,2016,Pau Gasol,C,35,CHI,72,0.529,0.29,3.2,3.9,7.1,467,995,0.469,443,926,0.478,0.481,229,289,0.792,294,148,1187
23690,2016,Rudy Gay,SF,29,SAC,70,0.538,0.252,1.8,2.1,3.8,466,1007,0.463,392,792,0.495,0.5,198,254,0.78,120,184,1204
23691,2016,Alonzo Gee,SF,28,NOP,73,0.572,0.259,1,0.9,1.9,132,255,0.518,115,195,0.59,0.551,44,66,0.667,72,169,325
23692,2016,Paul George,SF,25,IND,81,0.557,0.364,4.4,4.8,9.2,605,1449,0.418,395,883,0.447,0.49,454,528,0.86,329,230,1874
23693,2016,Taj Gibson,PF,30,CHI,73,0.556,0.292,3.2,2.2,5.4,263,500,0.526,263,497,0.529,0.526,101,146,0.692,106,180,627
